迎 	yíng 	to meet, to greet, to face	辵
运 	yùn 	to move, to transport	辵
近 	jìn 	close to, near	辵
还 	hái 	still, yet, in addition	辵
这	zhè (zhèr)	here, this	辵
进 	jìn 	to go in, to advance	辵
远 	yuǎn 	far away, distant	辵
迟	chi2		
迷	mi2		
追	zhui1		
退	tui4		
送 	sòng 	to deliver, to give (as present)	辵
逐	zhu2		
途	tu2		
通	tong1		
速	su4		
造	zao4		
遇	yu4		
道 	dào 	road, path, principle	辵
遥	yao2		
邑	yì 	area, district	邑
那	nà (nàr)	there, that	邑
邮	you2		
郊	jiao1		
都	dōu	all, both, entirely	邑
酒	jiu3		
酪	lao4		
酿	niang4		
醒	xing3		
里	lǐ	inside	里
重	zhong4		
金	jin1		
金	jīn 	gold, metals, money	金
鉴	jian4		
钟 	zhōng 	o’clock, bell	金
钥	yue4		
钱	qián	money	金
钺	yue4		
铁	tie3		
铜	tong2		
铠	kai3		
银	yin2		
锅	guo1		
错	cuò 	wrong, fault	金
镜	jing4		
镸	chang2		
长 	cháng 	long	长 
门 	mén 	door, gate	门 
闪	shan3		
问 	wèn 	to ask	门 
间 	jiān 	between, among, room	门 
闻	wen2		
阜	fù	mound, abundant	阜
阳	yang2		
阴 	yīn 	cloudy, shady, feminime, Yin	阜
阿	a1		
院 	yuàn 	courtyard, institution	阜
险	xian3		
随	sui2		
难	nan2		
集	ji2		
雨 	yǔ 	rain	雨 
雪 	xué 	snow 	雨 
零	líng	zero	雨
雷	lei2		
雾	wu4		
青	qing1		
非 	fēi	wrong, be not	非 
面 	miàn 	face, side, surface	面 
革	ge2		
音	yin1		
页	yè	page, leaf	页
顶	ding3		
顺	shun4		
须	xu1		
顿	dun4		
预	yu4		
题 	tí 	topic, subject	页
颜 	yán 	color, expression, face	页
飞 	fēi 	to fly	飞 
食	shí 	eat, meal	食
餐	can1		
饨	tun2		
饭 	fàn 	food, meal	食
饮	yin3		
饰	shi4		
饱	bao3		
饼	bing3		
饿	e4		
馄	hun2		
馅	xian4		
馆 	guăn	building, shop	食
首	shou3		
香	xiang1		
马	ma3		
驱	qu1		
骗	pian4		
高 	gāo 	tall 	高 
鬼	gui3		
鱼 	yú 	fish 	鱼 
鲜	xian1		
鸟	niăo	bird	鸟
鸡 	jī	chicken	鸟
鹅	e2		
黄	huang2		
黑 	hēi 	black 	黑 
鼠	shu3		
鼻	bi2		
龙	long2		
